Rule   (Support, Confidence) 
Wrightiraptor Mountain,Flight of the Swingodon -> Auvilotops Express  (36.0416%, 75.3674%)
Auvilotops Express,Flight of the Swingodon -> Wrightiraptor Mountain  (36.0416%, 77.6499%)
Wrightiraptor Mountain,Auvilotops Express -> Atmosfear  (35.8167%, 75.7882%)
Wrightiraptor Mountain,Atmosfear -> Auvilotops Express  (35.8167%, 76.2418%)
Auvilotops Express,Atmosfear -> Wrightiraptor Mountain  (35.8167%, 78.642%)
Wrightiraptor Mountain,Galactosaurus Rage -> Firefall  (35.5356%, 76.467%)
Wrightiraptor Mountain,Firefall -> Galactosaurus Rage  (35.5356%, 74.3529%)
Galactosaurus Rage,Firefall -> Wrightiraptor Mountain  (35.5356%, 75.4627%)
Wrightiraptor Mountain,Galactosaurus Rage -> Keimosaurus Chase  (35.4231%, 76.225%)
Wrightiraptor Mountain,Keimosaurus Chase -> Galactosaurus Rage  (35.4231%, 71.5909%)
Galactosaurus Rage,Keimosaurus Chase -> Wrightiraptor Mountain  (35.4231%, 73.2132%)
Wrightiraptor Mountain,Auvilotops Express -> Keimosaurus Chase  (35.1982%, 74.4795%)
Wrightiraptor Mountain,Keimosaurus Chase -> Auvilotops Express  (35.1982%, 71.1364%)
Auvilotops Express,Keimosaurus Chase -> Wrightiraptor Mountain  (35.1982%, 74.9701%)
Wrightiraptor Mountain,Auvilotops Express -> Firefall  (34.9171%, 73.8846%)
Wrightiraptor Mountain,Firefall -> Auvilotops Express  (34.9171%, 73.0588%)
Auvilotops Express,Firefall -> Wrightiraptor Mountain  (34.9171%, 75.9169%)
Wrightiraptor Mountain,Auvilotops Express -> TerrorSaur  (34.8327%, 73.7061%)
Wrightiraptor Mountain,TerrorSaur -> Auvilotops Express  (34.8327%, 74.0143%)
Auvilotops Express,TerrorSaur -> Wrightiraptor Mountain  (34.8327%, 73.0542%)
Wrightiraptor Mountain,Galactosaurus Rage -> Atmosfear  (34.411%, 74.0472%)
Wrightiraptor Mountain,Atmosfear -> Galactosaurus Rage  (34.411%, 73.2496%)
Galactosaurus Rage,Atmosfear -> Wrightiraptor Mountain  (34.411%, 76.788%)
Wrightiraptor Mountain,Galactosaurus Rage -> Auvilotops Express  (34.3267%, 73.8657%)
Wrightiraptor Mountain,Auvilotops Express -> Galactosaurus Rage  (34.3267%, 72.6353%)
Galactosaurus Rage,Auvilotops Express -> Wrightiraptor Mountain  (34.3267%, 75.9328%)
Wrightiraptor Mountain,Galactosaurus Rage -> Flight of the Swingodon  (33.7363%, 72.5953%)
Wrightiraptor Mountain,Flight of the Swingodon -> Galactosaurus Rage  (33.7363%, 70.5467%)
Galactosaurus Rage,Flight of the Swingodon -> Wrightiraptor Mountain  (33.7363%, 72.9483%)
Wrightiraptor Mountain,Galactosaurus Rage -> TerrorSaur  (33.7082%, 72.5348%)
Wrightiraptor Mountain,TerrorSaur -> Galactosaurus Rage  (33.7082%, 71.6249%)
Galactosaurus Rage,TerrorSaur -> Wrightiraptor Mountain  (33.7082%, 72.8433%)
Wrightiraptor Mountain,Auvilotops Express -> Creighton Pavilion  (33.2303%, 70.3153%)
Wrightiraptor Mountain,Creighton Pavilion -> Auvilotops Express  (33.2303%, 70.5251%)
Auvilotops Express,Creighton Pavilion -> Wrightiraptor Mountain  (33.2303%, 75.5272%)
Wrightiraptor Mountain,Galactosaurus Rage -> Creighton Pavilion  (33.1178%, 71.2644%)
Wrightiraptor Mountain,Creighton Pavilion -> Galactosaurus Rage  (33.1178%, 70.2864%)
Galactosaurus Rage,Creighton Pavilion -> Wrightiraptor Mountain  (33.1178%, 73.2132%)
SabreTooth Theatre -> Keimosaurus Chase  (31.684%, 71.0145%)
SabreTooth Theatre -> TerrorSaur  (31.3466%, 70.2583%)
